Provincia,Municipio,Población,Longitud ETRS89,Latitud ETRS89,Altitud
Albacete,Masegoso,115,-2.31511768,38.71877813,1108
Albacete,Minaya,1538,-2.31961973,39.27118701,723
Albacete,Molinicos,863,-2.23898151,38.46778179,851
Albacete,Montalvos,102,-2.02769341,39.16721439,709
Albacete,Montealegre del Castillo,2057,-1.32487672,38.78717469,810
Albacete,Motilleja,549,-1.79025762,39.17948885,676
Albacete,Munera,3572,-2.4830388,39.03954575,929
Albacete,Navas de Jorquera,523,-1.7189485,39.28099513,708
Albacete,Nerpio,1277,-2.30224029,38.14824043,1085
Albacete,Ontur,2072,-1.49888166,38.61472661,653
Albacete,Ossa de Montiel,2411,-2.74272664,38.96201035,898
Albacete,Paterna del Madera,359,-2.34555766,38.59729435,1126
Albacete,Peñascosa,328,-2.41040499,38.67153536,1169
Albacete,Peñas de San Pedro,1436,-2.00212787,38.72688881,1010
Albacete,Pétrola,719,-1.55549981,38.82629814,870
Albacete,Povedilla,452,-2.60393627,38.70163971,872
Albacete,Pozohondo,1653,-1.91133356,38.721122,871
Albacete,Pozo-Lorente,414,-1.50647855,39.07663024,769
Albacete,Pozuelo,514,-2.10117384,38.80969625,845
Albacete,La Recueja,260,-1.48988779,39.17688319,542
Albacete,Riópar,1391,-2.41839311,38.4998099,1126
Albacete,Robledo,366,-2.44882682,38.75778452,1041
Albacete,La Roda,15603,-2.15924796,39.20706504,708
Albacete,Salobre,523,-2.55057256,38.59195258,920
Albacete,San Pedro,1179,-2.186211,38.82654004,844
Albacete,Socovos,1788,-1.98469065,38.33202632,734
Albacete,Tarazona de la Mancha,6363,-1.91280979,39.26539647,713
Albacete,Tobarra,7754,-1.69282296,38.5922733,652
Albacete,Valdeganga,1958,-1.67646922,39.13545152,667
Albacete,Vianos,359,-2.50149079,38.632307,1118
Albacete,Villa de Ves,59,-1.25897631,39.22231541,744
Albacete,Villalgordo del Júcar,1125,-2.06309183,39.29598679,683
Albacete,Villamalea,4124,-1.59908353,39.36160785,739
Albacete,Villapalacios,594,-2.63505947,38.57467359,837
Albacete,Villarrobledo,25317,-2.60714311,39.26755792,728
Albacete,Villatoya,107,-1.33858599,39.33385264,409
Albacete,Villavaliente,219,-1.45799642,39.12645758,726
Albacete,Villaverde de Guadalimar,349,-2.5176095,38.45619162,789
Albacete,Viveros,338,-2.57590915,38.77363475,1012
Albacete,Yeste,2742,-2.31903072,38.36643865,878
Albacete,Pozo Cañada,2800,-1.73622317,38.801361,830
Alacant/Alicante,l'Atzúbia,664,-0.15173035,38.84743029,99
Alacant/Alicante,Agost,4703,-0.63891979,38.43949316,331
Alacant/Alicante,Agres,549,-0.51595543,38.78000404,719
Alacant/Alicante,Aigües,913,-0.36258669,38.49887092,332
Alacant/Alicante,Albatera,11850,-0.86792141,38.17894636,15
Alacant/Alicante,Alcalalí,1276,-0.04160798,38.74965349,226
Alacant/Alicante,Alcocer de Planes,230,-0.40197036,38.79447224,345
Alacant/Alicante,Alcoleja,185,-0.33100925,38.67548564,735
Alacant/Alicante,Alcoy/Alcoi,59106,-0.47318376,38.69836894,561
Alacant/Alicante,Alfafara,405,-0.55552339,38.77274828,580
Alacant/Alicante,l'Alfàs del Pi,18394,-0.1026002,38.58009496,89
Alacant/Alicante,Algorfa,2761,-0.79568423,38.08681637,23
Alacant/Alicante,Algueña,1372,-1.00303745,38.33800138,530
Alacant/Alicante,Alicante/Alacant,329988,-0.4831832,38.34548705,5
Alacant/Alicante,Almoradí,20332,-0.79201713,38.10977991,10
Alacant/Alicante,Almudaina,113,-0.35370678,38.76155764,570
Alacant/Alicante,l'Alqueria d'Asnar,496,-0.42552267,38.77311802,363
Alacant/Alicante,Altea,21813,-0.05144236,38.59892497,60
Alacant/Alicante,Aspe,20425,-0.76849107,38.34577266,234
Alacant/Alicante,Balones,128,-0.34237388,38.73701039,670
Alacant/Alicante,Banyeres de Mariola,7102,-0.65685684,38.71635902,812
Alacant/Alicante,Benasau,157,-0.34261264,38.68991329,705
Alacant/Alicante,Beneixama,1710,-0.76676743,38.70018533,592
Alacant/Alicante,Benejúzar,5372,-0.83819517,38.07806375,23
Alacant/Alicante,Benferri,1923,-0.9622579,38.14179352,56
Alacant/Alicante,Beniarbeig,1919,-0.00130364,38.82193219,42
Alacant/Alicante,Beniardá,183,-0.21600764,38.68343356,464
Alacant/Alicante,Beniarrés,1137,-0.37904234,38.82007885,385
Alacant/Alicante,Benigembla,433,-0.10982699,38.75633514,311
Alacant/Alicante,Benidoleig,1080,-0.03173239,38.791917,124
Alacant/Alicante,Benidorm,66831,-0.1306853,38.53427136,11
Alacant/Alicante,Benifallim,111,-0.39922559,38.66273419,738
Alacant/Alicante,Benifato,148,-0.22888967,38.67369418,663
Alacant/Alicante,Benijófar,3290,-0.73828051,38.0808408,22
Alacant/Alicante,Benilloba,755,-0.3908201,38.69955909,521
Alacant/Alicante,Benillup,102,-0.3789958,38.75380301,564
Alacant/Alicante,Benimantell,495,-0.20984798,38.67659254,546
Alacant/Alicante,Benimarfull,418,-0.39099875,38.77584801,414
Alacant/Alicante,Benimassot,99,-0.291855,38.74905825,725
Alacant/Alicante,Benimeli,391,-0.04146491,38.82296616,93
Alacant/Alicante,Benissa,10879,0.05043358,38.7151969,254
Alacant/Alicante,Benitachell/el Poble Nou de Benitatxell,4020,0.14459559,38.73292416,163
Alacant/Alicante,Biar,3650,-0.76597374,38.62996229,697
Alacant/Alicante,Bigastro,6656,-0.89528476,38.06301558,23
Alacant/Alicante,Bolulla,414,-0.11168494,38.67657681,213
Alacant/Alicante,Busot,2904,-0.42050568,38.4819618,312
Alacant/Alicante,Calp,20804,0.04453809,38.64526261,55
Alacant/Alicante,Callosa d'en Sarrià,7223,-0.12235041,38.65164066,250
Alacant/Alicante,Callosa de Segura,18625,-0.87933854,38.12258136,20
Alacant/Alicante,el Campello,27604,-0.40086509,38.42754724,26
Alacant/Alicante,Campo de Mirra/el Camp de Mirra,436,-0.77925393,38.68719624,585
Alacant/Alicante,Cañada,1242,-0.80952172,38.67518917,556
Alacant/Alicante,Castalla,9876,-0.67026538,38.59657643,669
Alacant/Alicante,Castell de Castells,436,-0.19391054,38.72499704,549
Alacant/Alicante,Catral,8620,-0.80464175,38.15964959,8
Alacant/Alicante,Cocentaina,11461,-0.44022067,38.74541202,433
Alacant/Alicante,Confrides,221,-0.26810894,38.68353731,780
Alacant/Alicante,Cox,7192,-0.88437585,38.13972138,16
Alacant/Alicante,Crevillent,28836,-0.80855322,38.24881414,129
Alacant/Alicante,Quatretondeta,109,-0.31641906,38.72386675,620
Alacant/Alicante,Daya Nueva,1684,-0.76103525,38.11371672,8
Alacant/Alicante,Daya Vieja,713,-0.73805702,38.1047248,6
Alacant/Alicante,Dénia,41568,0.10661934,38.84122705,13
Alacant/Alicante,Dolores,7302,-0.76969869,38.13897736,4
Alacant/Alicante,Elche/Elx,228675,-0.69775581,38.26741662,82
Alacant/Alicante,Elda,52620,-0.79611046,38.47878894,395
Alacant/Alicante,Facheca,101,-0.26771337,38.73467536,769
Alacant/Alicante,Famorca,57,-0.24604552,38.73219338,684
Alacant/Alicante,Finestrat,6292,-0.2117688,38.56697349,264
Alacant/Alicante,Formentera del Segura,4064,-0.74649853,38.08423377,8
Alacant/Alicante,Gata de Gorgos,5804,0.08427495,38.7732101,79
Alacant/Alicante,Gaianes,448,-0.40755768,38.81311114,420
Alacant/Alicante,Gorga,273,-0.35671735,38.71833445,542
Alacant/Alicante,Granja de Rocamora,2469,-0.89001674,38.15262779,17
Alacant/Alicante,el Castell de Guadalest,205,-0.19735239,38.67694213,571
Alacant/Alicante,Guardamar del Segura,14716,-0.65477035,38.08988071,27
Alacant/Alicante,el Fondó de les Neus/Hondón de las Nieves,2436,-0.85486637,38.30855695,367
Alacant/Alicante,Hondón de los Frailes,1102,-0.92699487,38.27358559,413
Alacant/Alicante,Ibi,23423,-0.57466482,38.62745682,754
Alacant/Alicante,Jacarilla,1953,-0.86635637,38.06070041,25
Alacant/Alicante,Xaló,2636,-0.01192072,38.74069906,188
Alacant/Alicante,Jávea/Xàbia,27060,0.16340067,38.78925837,48
Alacant/Alicante,Jijona/Xixona,6895,-0.50791278,38.53902509,462
Alacant/Alicante,Lorcha/l'Orxa,606,-0.31125116,38.84403413,267
Alacant/Alicante,Llíber,951,0.006304,38.74347137,191
Alacant/Alicante,Millena,230,-0.36337482,38.73087323,635
Alacant/Alicante,Monforte del Cid,7592,-0.72989187,38.37928097,228
Alacant/Alicante,Monóvar/Monòver,12177,-0.83780533,38.43721579,390
Alacant/Alicante,Mutxamel,24778,-0.44522331,38.41368396,63
Alacant/Alicante,Murla,477,-0.08306874,38.75958883,283
Alacant/Alicante,Muro de Alcoy,9319,-0.4357044,38.77998192,391
Alacant/Alicante,Novelda,25868,-0.76539782,38.38606382,241
Alacant/Alicante,la Nucia,18548,-0.12289748,38.61761623,216
Alacant/Alicante,Ondara,6739,0.01764367,38.82692459,36
Alacant/Alicante,Onil,7493,-0.6740463,38.62952092,701
Alacant/Alicante,Orba,2035,-0.06371253,38.78039233,154
Alacant/Alicante,Orxeta,760,-0.2618598,38.56400384,176
